zipcode,average_agi,n_returns
72045,51975,440
72046,45892,1630
72047,47000,390
72051,37078,190
72055,47967,340
72057,49430,420
72058,58417,6880
72060,37936,250
72061,45760,200
72063,47483,590
72064,46330,980
72065,55349,2170
72067,47277,1050
72068,35221,190
72069,36445,510
72070,41853,630
72072,42833,180
72073,38655,490
72076,40118,15670
72079,43021,320
72080,41360,230
72081,41546,2750
72082,27537,640
72083,51945,110
72084,42376,420
72086,47580,4350
72087,54154,590
72088,47352,910
72101,43917,1300
72102,43048,1020
72103,41387,5560
72104,43283,8540
72106,49970,2260
72107,29427,110
72110,48682,4500
72111,49611,530
72112,43576,3340
72113,71207,11600
72114,28193,4090
72116,71447,10210
72117,33788,5670
72118,40007,9500
72120,61021,15290
72121,44794,1010
72122,82984,520
72123,30658,120
72125,40034,320
72126,46683,1430
72127,47515,880
72128,45515,330
72129,50628,560
72130,43168,160
72131,47026,1820
72132,51095,1420
72134,49437,160
72135,100081,1220
72136,46904,660
72137,40286,990
72140,43583,120
72141,35225,160
72142,62539,1080
72143,55584,12630
72150,60210,4960
72152,39706,160
72153,39997,840
72156,46275,240
72157,45712,570
72160,56620,4340
72166,33320,100
72167,43118,690
72168,30040,150
72173,55406,3770
72175,31921,140
72176,46653,3590
72179,36057,210
72181,50846,130
72201,134148,520
72202,61891,4480
72204,32982,12380
72205,61786,10630
72206,38434,9250
72207,153572,5430
72209,27473,12350
72210,54987,7000
72211,76597,10740
72212,136897,5820
72223,153819,11000
72227,82707,5440
72301,35720,9880
72315,41751,7860
72324,40600,770
72326,39292,890
72327,44080,620
72330,36636,190
72331,30554,900
72333,39346,300
72335,34072,4970
72342,42316,1490
72346,39736,190
72347,38484,250
72348,36539,830
72350,36318,320
72351,39829,310
72354,40340,860
72355,41980,860
72358,29386,450
72359,25405,170
72360,38110,2060
72364,56258,6870
72365,36946,1060
72366,41945,740
72368,48457,380
72370,37556,2920
72372,41310,690
72373,28957,450
72374,39750,260
72376,43010,670
72384,31475,320
72386,44819,620
72390,30249,3070
72392,39300,170
72394,32705,200
72395,55723,420
72396,45266,5350
72401,49312,21100
72404,75049,11420
72410,32516,180
72411,39767,870
72412,41734,230
72413,39160,200
72414,53426,150
72415,47951,520
72416,44195,2210
72417,45592,1960
72419,41423,550
72421,34010,190
72422,44046,1690
72425,31131,160
72429,44528,140
72430,33837,160
72432,41680,2300
72433,34017,950
72434,41014,770
72435,43440,150
72436,42592,390
72437,43119,1300
72438,43103,880
72440,38235,140
72442,49733,1770
72443,41029,1080
72444,36016,610
72447,47900,700
72450,47882,14650
72454,42603,1860
72455,43075,4970
72456,37550,180
72457,34961,130
72458,38225,240
72459,33197,430
72460,40612,250
72461,44281,1330
72462,34150,140
72466,43231,440
72467,37763,220
72469,39200,370
72470,40650,100
72471,35811,350
72472,38846,3430
72473,43038,920
72476,44194,2510
72478,39616,120
72479,52222,490
72482,31437,370
72501,52358,9430
72512,35905,760
72513,41489,1010
72517,36408,120
72519,40400,950
72521,41040,1740
72522,42762,160
72523,36832,340
72524,45053,150
72526,42000,120
72527,36884,260
72529,40122,1530
72530,43264,670
72531,42307,270
72532,39335,540
72533,33836,110
72534,44119,470
72536,38270,170
72537,42883,310
72538,34440,150
72539,35652,170
72542,36392,1380
72543,50287,5060
72544,40760,250
72550,42863,330
72554,34830,1000
72556,45864,1390
72560,40068,3310
72561,42416,310
72562,42318,800
72564,39556,160
72565,33455,290
72566,48178,190
72567,28508,120
72568,39313,650
72569,32475,160
72571,53450,140
72573,44527,110
72576,40020,1380
72577,39769,230
72579,44063,570
72581,47657,420
72583,39507,560
72584,37488,180
72601,46616,11390
72611,42440,660
72616,41238,4320
72619,41860,780
72623,45037,240
72624,39323,170
72626,46460,460
72628,36262,240
72629,30790,220
72631,48850,1780
72632,43038,2050
72633,39551,600
72634,41200,1910
72635,41322,1450
72638,37879,2840
72639,30150,160
72640,33464,140
72641,37525,890
72642,46007,790
72644,37706,920
72645,33645,570
72648,35196,270
72650,32897,1570
72651,39831,480
72653,50605,11610
72655,28487,160
72658,43093,630
72660,36052,190
72661,41459,220
72662,43819,1200
72663,32154,110
72666,33318,110
72668,49633,150
72672,32509,110
72675,35080,500
72677,27480,250
72679,28214,270
72680,33131,290
72682,39173,230
72683,33509,110
72685,37178,500
72687,39350,2180
72701,64180,15090
72703,80534,14430
72704,71011,11530
72712,260146,23050
72714,70041,5870
72715,66618,7860
72717,39825,310
72718,113419,1560
72719,69963,5490
72721,44871,140
72722,40871,1190
72727,46581,2350
72729,38536,110
72730,59421,3990
72732,59681,1860
72734,48326,3190
72736,60029,2570
72738,51562,980
72739,50034,230
72740,42403,3870
72742,38161,210
72744,42792,2000
72745,59106,5450
72751,52813,3110
72752,26858,120
72753,56107,3800
72756,52671,17560
72758,93793,17560
72760,35850,120
72761,50317,9100
72762,67105,16940
72764,45994,22860
72768,36006,430
72769,46031,380
72773,40740,470
72774,49579,2730
72776,36173,190
72801,39273,6240
72802,62664,8840
72821,37744,590
72823,40902,2410
72824,35558,580
72830,41397,5900
72832,34745,310
72833,38674,1790
72834,43323,3970
72835,41696,310
72837,51232,3120
72840,34135,760
72842,37344,470
72843,43364,810
72845,46828,460
72846,47240,1450
72847,50796,1030
72851,43500,270
72853,38692,690
72854,36656,230
72855,40986,2410
72856,33780,150
72857,39193,440
72858,50367,1430
72860,34235,140
72863,44214,680
72865,44497,480
72901,39104,7940
72903,69477,10700
72904,28414,8560
72908,59174,6020
72916,87432,3970
72921,50735,5510
72923,41283,1940
72926,36700,160
72927,38661,3080
72928,36303,270
72930,43773,190
72932,42243,600
72933,51205,1900
72934,39010,290
72935,36246,150
72936,56253,6040
72937,47707,1410
72938,39621,420
72940,44398,870
72941,50839,2100
72943,38019,910
72944,46154,1030
72945,30368,160
72946,42882,1290
72947,43174,1430
72948,41376,170
72949,44507,3700
72950,36183,120
72951,41548,410
72952,46935,940
72955,33100,180
72956,46200,13160
72958,35383,2640
72959,43570,1020
