n_business,n_coffee,n_d1,n_d2,n_d3,n_d4,n_review,n_s1,n_s1plus,n_s2,n_s2plus,n_s3,n_s3plus,n_s4,n_s4plus,n_s5,n_starbucks,zipcode
301.0,20.0,89.0,107.0,7.0,98.0,5609.0,3.0,10.0,17.0,21.0,66.0,66.0,70.0,29.0,202.0,5.0,53086
741.0,73.0,246.0,285.0,12.0,198.0,20642.0,23.0,42.0,64.0,70.0,157.0,157.0,164.0,83.0,494.0,13.0,53092
130.0,11.0,38.0,37.0,1.0,54.0,2113.0,4.0,2.0,3.0,11.0,21.0,21.0,31.0,21.0,78.0,1.0,53119
478.0,39.0,148.0,179.0,13.0,138.0,12271.0,19.0,12.0,21.0,47.0,93.0,93.0,127.0,64.0,287.0,6.0,54304
197.0,15.0,67.0,62.0,7.0,61.0,3569.0,13.0,3.0,14.0,11.0,38.0,38.0,46.0,22.0,129.0,2.0,54476
243.0,26.0,94.0,69.0,5.0,75.0,4403.0,8.0,9.0,14.0,20.0,34.0,34.0,51.0,37.0,155.0,3.0,54701
66.0,6.0,14.0,21.0,0.0,31.0,615.0,1.0,2.0,1.0,1.0,9.0,9.0,16.0,17.0,33.0,0.0,53091
61.0,5.0,20.0,16.0,0.0,25.0,595.0,0.0,0.0,2.0,5.0,4.0,4.0,16.0,10.0,35.0,0.0,53522
277.0,19.0,78.0,102.0,8.0,89.0,6908.0,18.0,5.0,12.0,20.0,44.0,44.0,85.0,40.0,152.0,3.0,54311
578.0,46.0,168.0,216.0,15.0,179.0,13385.0,25.0,14.0,27.0,57.0,113.0,113.0,154.0,76.0,348.0,6.0,54301
132.0,9.0,46.0,38.0,0.0,48.0,2120.0,4.0,3.0,8.0,15.0,22.0,22.0,26.0,25.0,81.0,1.0,54467
191.0,18.0,83.0,54.0,3.0,51.0,4884.0,8.0,8.0,13.0,19.0,36.0,36.0,38.0,23.0,130.0,2.0,53532
108.0,6.0,32.0,29.0,2.0,45.0,1225.0,4.0,3.0,3.0,4.0,13.0,13.0,22.0,24.0,62.0,1.0,53057
658.0,68.0,264.0,231.0,16.0,147.0,32016.0,12.0,8.0,26.0,53.0,156.0,156.0,164.0,84.0,410.0,7.0,53719
137.0,12.0,38.0,40.0,2.0,57.0,1661.0,9.0,2.0,5.0,12.0,23.0,23.0,28.0,19.0,90.0,3.0,54937
263.0,23.0,74.0,89.0,6.0,94.0,4929.0,7.0,4.0,14.0,24.0,47.0,47.0,61.0,44.0,158.0,4.0,53080
56.0,5.0,20.0,19.0,1.0,16.0,671.0,1.0,2.0,4.0,5.0,7.0,7.0,10.0,11.0,35.0,0.0,53916
109.0,7.0,22.0,29.0,5.0,53.0,787.0,3.0,4.0,6.0,9.0,12.0,12.0,28.0,13.0,68.0,0.0,54466
287.0,22.0,108.0,73.0,2.0,104.0,3890.0,6.0,11.0,15.0,31.0,52.0,52.0,62.0,35.0,190.0,1.0,53525
329.0,29.0,95.0,126.0,8.0,100.0,7542.0,15.0,10.0,12.0,31.0,64.0,64.0,85.0,47.0,197.0,5.0,54115
