zipcode,population,cost_of_living,area,median_income,n_business,n_coffee,n_costco,n_d1,n_d2,n_d3,n_d4,n_review,n_s1,n_s1plus,n_s2,n_s2plus,n_s3,n_s3plus,n_s4,n_s4plus,n_s5,n_starbucks,n_wholefoods
53561,1727.0,91.5,36.1,74355.0,92.0,3.0,0.0,25.0,26.0,1.0,40.0,2152.0,1.0,3.0,1.0,3.0,13.0,13.0,21.0,22.0,49.0,0.0,0.0
53585,2317.0,88.8,27.3,49227.0,197.0,12.0,0.0,81.0,50.0,5.0,61.0,4027.0,7.0,4.0,11.0,11.0,36.0,36.0,48.0,31.0,118.0,1.0,0.0
53703,30647.0,104.2,1.8,35129.0,601.0,57.0,0.0,238.0,219.0,21.0,123.0,45995.0,7.0,5.0,13.0,41.0,115.0,115.0,212.0,91.0,298.0,3.0,0.0
53714,16475.0,97.5,4.6,53114.0,830.0,75.0,0.0,337.0,289.0,22.0,182.0,51976.0,13.0,13.0,36.0,70.0,158.0,158.0,255.0,106.0,469.0,8.0,0.0
53719,31790.0,97.9,10.1,75832.0,658.0,68.0,0.0,264.0,231.0,16.0,147.0,32016.0,12.0,8.0,26.0,53.0,156.0,156.0,164.0,84.0,410.0,7.0,0.0
53916,22874.0,81.0,100.5,51572.0,56.0,5.0,0.0,20.0,19.0,1.0,16.0,671.0,1.0,2.0,4.0,5.0,7.0,7.0,10.0,11.0,35.0,0.0,0.0
54025,7327.0,97.0,48.6,69939.0,123.0,12.0,0.0,24.0,45.0,5.0,49.0,3220.0,6.0,1.0,10.0,14.0,22.0,22.0,31.0,21.0,71.0,0.0,0.0
54082,1420.0,92.6,13.5,114863.0,349.0,32.0,0.0,88.0,139.0,9.0,113.0,10819.0,11.0,3.0,21.0,45.0,70.0,70.0,77.0,51.0,221.0,4.0,0.0
54130,26290.0,93.5,79.8,64569.0,177.0,15.0,0.0,51.0,53.0,5.0,68.0,1925.0,11.0,1.0,9.0,20.0,21.0,21.0,37.0,26.0,114.0,1.0,0.0
54136,6433.0,93.8,2.1,48213.0,123.0,11.0,0.0,39.0,44.0,2.0,38.0,1800.0,7.0,1.0,7.0,16.0,18.0,18.0,27.0,16.0,80.0,1.0,0.0
54212,1125.0,90.7,32.9,78892.0,114.0,14.0,0.0,21.0,55.0,9.0,29.0,6266.0,0.0,0.0,4.0,2.0,22.0,22.0,34.0,25.0,55.0,0.0,0.0
54235,17046.0,82.0,192.2,54141.0,71.0,5.0,0.0,24.0,26.0,0.0,21.0,1951.0,2.0,1.0,3.0,4.0,11.0,11.0,23.0,13.0,35.0,0.0,0.0
54311,35604.0,93.5,64.1,63718.0,277.0,19.0,0.0,78.0,102.0,8.0,89.0,6908.0,18.0,5.0,12.0,20.0,44.0,44.0,85.0,40.0,152.0,3.0,0.0
54423,2410.0,87.6,53.4,76996.0,60.0,4.0,0.0,22.0,20.0,0.0,18.0,949.0,2.0,1.0,4.0,7.0,12.0,12.0,13.0,7.0,40.0,1.0,0.0
54466,2886.0,87.6,303.9,51361.0,109.0,7.0,0.0,22.0,29.0,5.0,53.0,787.0,3.0,4.0,6.0,9.0,12.0,12.0,28.0,13.0,68.0,0.0,0.0
54621,1270.0,88.2,37.7,63302.0,95.0,9.0,0.0,36.0,25.0,2.0,32.0,988.0,4.0,2.0,2.0,12.0,16.0,16.0,23.0,19.0,53.0,0.0,0.0
54701,41287.0,92.4,85.9,54213.0,243.0,26.0,0.0,94.0,69.0,5.0,75.0,4403.0,8.0,9.0,14.0,20.0,34.0,34.0,51.0,37.0,155.0,3.0,0.0
54720,7467.0,92.2,4.9,52714.0,219.0,23.0,0.0,88.0,63.0,4.0,64.0,4238.0,5.0,9.0,11.0,16.0,28.0,28.0,50.0,36.0,133.0,3.0,0.0
54915,43238.0,93.0,15.7,66317.0,607.0,45.0,0.0,185.0,212.0,13.0,197.0,11389.0,33.0,12.0,23.0,55.0,96.0,96.0,129.0,105.0,373.0,5.0,0.0
